GLOBAL_ID,advertisement_id
15165,a999af17-383d-4b5c-af0e-78cc5e42e4e8
15368,6d641ad1-2a90-40f7-acde-d50bf7f3d048
15532,6531e50c-a52c-407c-911a-cbeb60f9fd97
15545,a8239118-98ad-4c84-8abc-0cb571fe1afb
15634,D31F0A3D-E404-438E-9F3B-E1FDCBD3FD5A
15674,26e92280-7371-4f6c-a395-263f41113097
15761,e129673f-8c16-4248-b1ee-f8d9683cfda1
15793,5ebe5d27-abc9-43c2-b002-85622d17461d
15802,242008ef-79dd-4b45-9b58-ff112799751e
15871,Opt-out
15875,4B5EBD39-D42A-41F6-B405-44B313EBA16F
15940,deff464a-0ec2-4c09-bbd3-825333243f85
16054,Opt-out
16115,fb591715-4b61-4c14-98a1-ada57a8cd9b9
16167,3d5ff47d-10ea-4a62-a6a3-8e035f98028a
16216,Opt-out
16253,71241d54-4f57-4984-8d53-2e48adbe588f
16400,0d4c9726-81ec-48ab-9f03-f155e937767b
16570,bac2dc2f-8c6b-445f-bbbc-e57ea19b1251
16716,f7752868-63fb-45fc-8a43-362cf9568ddc
16788,51a5873a-487e-4227-b8fb-75b3a3ecf38e
16850,Opt-out
17028,Opt-out
17029,Opt-out
17243,Opt-out
17393,3bf6f15d-50a3-479a-b91f-bd4471ebd91d
17605,Opt-out
17612,Opt-out
17664,7ba87f10-fbbc-4276-8b06-3e74b1b27a88
17736,fb3bc60f-14c1-4389-a56c-133d4a219953
17797,Opt-out
17886,cbaf598a-952f-433e-9dbb-b18bdafeb4aa
17893,Opt-out
17900,32e0e229-bc74-4197-b09f-bca817105324
17932,1a219c5a-1730-43d4-b566-5448bb9b183d
18129,Opt-out
18296,670098b3-4af8-414c-b411-a91e2b276d94
18332,cca00f07-9092-4b23-a8c4-978b7b99a8f7
18353,Opt-out
18426,1b6b62e8-8419-47b3-9408-5f663cdf35aa
18437,Opt-out
18465,bb9480ca-d728-4d80-9d89-53a569e5ea3a
18498,45716a01-4335-44f2-9d89-f7dc52ead380
18518,83b9bfe0-79f3-4ee2-acdc-f8ba39113c0e
18544,520CB360-4BE1-4C77-A31D-BD878A9EA8B2
18632,963b61f9-86ea-469c-a421-727d6595b253
18715,f8668fa0-6fda-44a8-94e8-c738b2ca612d
18743,27140fac-0970-4bc5-8d80-a1883eb28c6d
18755,b24343f7-aa6b-4f40-ba8f-206b0411bb02
18790,49bdefaa-d199-4809-a228-691ebba210cb
18851,9e331ddb-5eba-4bd6-87a7-09e6f72bb073
18930,e5d3ff13-a418-4191-b120-90e76385a770
19110,Opt-out
19119,389b377e-a3d6-48fe-80ca-a78f7a6301a7
19138,6b1c1479-4926-46bd-b2dd-2504b5175ebd
19148,abf013db-412f-4278-a8ca-2a1706813be2
19163,185ea1dd-52b5-4049-92f6-a4e272ddb76a
19185,c8b1a5d6-27d4-43c8-a5e2-112e4dcaffde
19280,18e12095-0bd8-47a0-a5aa-6ed6fcb8e917
19407,5d677f62-be24-4efd-b6a5-054feeb43925
19452,78807a6c-4f6c-4f85-9695-b4ee7bec7946
19479,ba41341e-5fbb-4f41-b494-6b250cc383d2
19482,Opt-out
19722,22422211-93c9-4667-8529-6b46239aa7a8
19757,58aa388e-a9d2-4713-ac92-415cbd4fdfa4
19814,39f3da57-6a48-4560-933b-ae0411acff42
19852,Opt-out
19871,31B0A5EF-4FD5-44B6-BFB0-0AB8CCCAA797
19872,cba7bbed-1d00-49fa-8c18-ce40ad78efa6
20051,d18ff17e-74d5-4688-b6c3-6efc984175fa
20130,470f208a-71e7-47c8-97a3-7d413b1dee9b
20292,1c49b80e-c9ee-47c0-845c-fa9561790c01
20303,EFE1FC0B-6A6F-40B0-ADA7-455710FDC079
20378,Opt-out
20401,57badaaf-4f25-416e-8ede-77dac6af048c
20415,Opt-out
20466,Opt-out
20520,b0492e0b-cdd6-4e66-9d52-d0cbfcb0d1b8
20753,9d936e9e-0926-43c5-a57f-65bb28ff2b7e
20803,Opt-out
20875,Opt-out
20980,Opt-out
21013,557aca17-f884-4815-9d39-e77e31ea8313
21036,8fdd77ac-c819-4d11-a8c1-af23330bedc5
21084,415c6aa5-f1a8-459b-81bf-6fda989c7e3d
21374,46e7fab7-a69a-4086-9ae3-c50184b91269
21451,8f8e91a5-314b-402f-8b5e-71aaf7dc06a7
21523,4434d44f-ffeb-4ba7-ba6d-680e7d4462d2
21542,35982062-8367-4d11-9590-b25cb5199499
21869,Opt-out
22033,Opt-out
22051,Opt-out
22061,674f5704-90f6-4ecf-936d-5e451c05f379
22178,8af3c5db-3670-4645-ad6f-c62cfe1acf37
22283,10754ead-24b7-4660-afdc-52b8de408350
22295,3a8fc8ad-f91d-46ef-981b-e586455dd3db
22325,e90b8a70-666a-4646-b0eb-fc5a2090e168
22454,0b2e6a3e-b79c-49f8-bcec-130e92dfe052
22732,ef041394-11ea-4266-ad8d-17a863563bfc
22760,fd31b7d1-170f-44ec-9fbf-1e21727b9512
22980,d85b8e06-fd1b-4c59-9bb5-2f6c665216ca
22994,51d571c4-9173-4242-baf2-7f8a4acea22f
23004,Opt-out
23049,1f94d230-8c65-45c8-bf37-bc7ab749ca40
23087,1f49404b-ac32-4fac-b3dc-056c85ce15e0
23164,f5f48246-1e51-4ded-9b93-9019e8cac707
23173,Opt-out
23241,Opt-out
23407,7757122a-c5a2-4f94-8c78-101d1eea65bf
